time,node,displacement
0.000000,0,0.000000000
0.000000,1,0.000000000
0.000000,2,0.000000000
0.000000,3,0.000000000
0.000000,4,0.000000000
0.000000,5,0.000000000
0.004000,0,0.000000000
0.004000,1,0.000000000
0.004000,2,0.000000000
0.004000,3,0.000000000
0.004000,4,0.000000000
0.004000,5,0.000000000
0.008000,0,0.000000000
0.008000,1,0.000000000
0.008000,2,0.000000000
0.008000,3,0.000000000
0.008000,4,0.000000000
0.008000,5,0.000000000
0.012000,0,0.000000000
0.012000,1,0.000000000
0.012000,2,0.000000000
0.012000,3,0.000000000
0.012000,4,0.000000000
0.012000,5,0.000000000
0.016000,0,0.000000000
0.016000,1,0.000000000
0.016000,2,0.000000000
0.016000,3,0.000000000
0.016000,4,0.000000000
0.016000,5,0.000000000
0.020000,0,0.000000000
0.020000,1,0.000000000
0.020000,2,0.000000000
0.020000,3,0.000000000
0.020000,4,0.000000000
0.020000,5,0.000000000
0.024000,0,0.000000000
0.024000,1,0.000000000
0.024000,2,0.000000000
0.024000,3,0.000000000
0.024000,4,0.000000000
0.024000,5,0.000000000
0.028000,0,0.000000000
0.028000,1,0.000000000
0.028000,2,0.000000000
0.028000,3,0.000000000
0.028000,4,0.000000000
0.028000,5,0.000000000
0.032000,0,0.000000000
0.032000,1,0.000000000
0.032000,2,0.000000000
0.032000,3,0.000000000
0.032000,4,0.000000000
0.032000,5,0.000000000
0.036000,0,0.000000000
0.036000,1,0.000000000
0.036000,2,0.000000000
0.036000,3,0.000000000
0.036000,4,0.000000000
0.036000,5,0.000000000
0.040000,0,0.000000000
0.040000,1,0.000000000
0.040000,2,0.000000000
0.040000,3,0.000000000
0.040000,4,0.000000000
0.040000,5,0.000000000
0.044000,0,0.000000000
0.044000,1,0.000000000
0.044000,2,0.000000000
0.044000,3,0.000000000
0.044000,4,0.000000000
0.044000,5,0.000000000
0.048000,0,0.000000000
0.048000,1,0.000000000
0.048000,2,0.000000000
0.048000,3,0.000000000
0.048000,4,0.000000000
0.048000,5,0.000000000
0.052000,0,0.000000000
0.052000,1,0.000000000
0.052000,2,0.000000000
0.052000,3,0.000000000
0.052000,4,0.000000000
0.052000,5,0.000000000
0.056000,0,0.000000000
0.056000,1,0.000000000
0.056000,2,0.000000000
0.056000,3,0.000000000
0.056000,4,0.000000000
0.056000,5,0.000000000
0.060000,0,0.000000000
0.060000,1,0.000000000
0.060000,2,0.000000000
0.060000,3,0.000000000
0.060000,4,0.000000000
0.060000,5,0.000000000
0.064000,0,0.000000000
0.064000,1,0.000000000
0.064000,2,0.000000000
0.064000,3,0.000000000
0.064000,4,0.000000000
0.064000,5,0.000000000
0.068000,0,0.000000000
0.068000,1,0.000000000
0.068000,2,0.000000000
0.068000,3,0.000000000
0.068000,4,0.000000000
0.068000,5,0.000000000
0.072000,0,0.000000000
0.072000,1,0.000000000
0.072000,2,0.000000000
0.072000,3,0.000000000
0.072000,4,0.000000000
0.072000,5,0.000000000
0.076000,0,0.000000000
0.076000,1,0.000000000
0.076000,2,0.000000000
0.076000,3,0.000000000
0.076000,4,0.000000000
0.076000,5,0.000000000
0.080000,0,0.000000000
0.080000,1,0.000000000
0.080000,2,0.000000000
0.080000,3,0.000000000
0.080000,4,0.000000000
0.080000,5,0.000000000
0.084000,0,0.000000000
0.084000,1,0.000000000
0.084000,2,0.000000000
0.084000,3,0.000000000
0.084000,4,0.000000000
0.084000,5,0.000000000
0.088000,0,0.000000000
0.088000,1,0.000000000
0.088000,2,0.000000000
0.088000,3,0.000000000
0.088000,4,0.000000000
0.088000,5,0.000000000
0.092000,0,0.000000000
0.092000,1,0.000000000
0.092000,2,0.000000000
0.092000,3,0.000000000
0.092000,4,0.000000000
0.092000,5,0.000000000
0.096000,0,0.000000000
0.096000,1,0.000000000
0.096000,2,0.000000000
0.096000,3,0.000000000
0.096000,4,0.000000000
0.096000,5,0.000000000
0.100000,0,0.000000000
0.100000,1,0.000000000
0.100000,2,0.000000000
0.100000,3,0.000000000
0.100000,4,0.000000000
0.100000,5,0.000000000
0.104000,0,0.000000000
0.104000,1,0.000000000
0.104000,2,0.000000000
0.104000,3,0.000000000
0.104000,4,0.000000000
0.104000,5,0.000000000
0.108000,0,0.000000000
0.108000,1,0.000000000
0.108000,2,0.000000000
0.108000,3,0.000000000
0.108000,4,0.000000000
0.108000,5,0.000000000
0.112000,0,0.000000000
0.112000,1,0.000000000
0.112000,2,0.000000000
0.112000,3,0.000000000
0.112000,4,0.000000000
0.112000,5,0.000000000
0.116000,0,0.000000000
0.116000,1,0.000000000
0.116000,2,0.000000000
0.116000,3,0.000000000
0.116000,4,0.000000000
0.116000,5,0.000000000
0.120000,0,0.000000000
0.120000,1,0.000000000
0.120000,2,0.000000000
0.120000,3,0.000000000
0.120000,4,0.000000000
0.120000,5,0.000000000
0.124000,0,0.000000000
0.124000,1,0.000000000
0.124000,2,0.000000000
0.124000,3,0.000000000
0.124000,4,0.000000000
0.124000,5,0.000000000
0.128000,0,0.000000000
0.128000,1,0.000000000
0.128000,2,0.000000000
0.128000,3,0.000000000
0.128000,4,0.000000000
0.128000,5,0.000000000
0.132000,0,0.000000000
0.132000,1,0.000000000
0.132000,2,0.000000000
0.132000,3,0.000000000
0.132000,4,0.000000000
0.132000,5,0.000000000
0.136000,0,0.000000000
0.136000,1,0.000000000
0.136000,2,0.000000000
0.136000,3,0.000000000
0.136000,4,0.000000000
0.136000,5,0.000000000
0.140000,0,0.000000000
0.140000,1,0.000000000
0.140000,2,0.000000000
0.140000,3,0.000000000
0.140000,4,0.000000000
0.140000,5,0.000000000
0.144000,0,0.000000000
0.144000,1,0.000000000
0.144000,2,0.000000000
0.144000,3,0.000000000
0.144000,4,0.000000000
0.144000,5,0.000000000
